id,ticket_id,related_type,text,type,user_id
366,986,TICKET,Отложено,WAITING,712
367,1003,TICKET,Затрудняюсь,HARD,712
368,1004,TICKET,Ответил,SOLVED,712
369,1005,TICKET,Затрудняюсь,HARD,712
370,1006,TICKET,Затрудняюсь Махачкала танцы,HARD,712
371,1000,TICKET,Затрудняюсь трек из игры скорее всего,HARD,712
372,1006,TICKET,Непонятно,OBSCURE,2
373,1007,TICKET,Ответил,SOLVED,788
374,1008,TICKET,Непонятно,OBSCURE,99
376,1010,TICKET,Ответил,SOLVED,788
377,1011,TICKET,Ответил,SOLVED,788
379,1008,TICKET,Непонятно,OBSCURE,712
380,917,TICKET,Холостяк 4,WAITING,99
381,1014,TICKET,Затрудняюсь ost скорее всего,HARD,712
382,1015,TICKET,Затрудняюсь,HARD,712
383,1015,TICKET,Ответил,SOLVED,99
384,1016,TICKET,Ответил,SOLVED,788
385,1018,TICKET,Ответил,SOLVED,43
386,1020,TICKET,Ответил,SOLVED,43
387,1021,TICKET,Ответил,SOLVED,43
388,1014,TICKET,Supernatural,WAITING,99
389,1023,TICKET,Ответил,SOLVED,43
390,697,TICKET,пусто,OBSCURE,99
391,1024,TICKET,Ответил,SOLVED,43
392,1022,TICKET,вайн,HARD,99
393,1017,TICKET,Ответил,SOLVED,43
394,1025,TICKET,Ответил,SOLVED,43
396,1026,TICKET,Ответил,SOLVED,43
397,1033,TICKET,Ответил,SOLVED,43
398,1035,TICKET,Ответил,SOLVED,712
399,1034,TICKET,Затрудняюсь,HARD,712
400,1031,TICKET,Затрудняюсь,HARD,712
401,1030,TICKET,Затрудняюсь,HARD,712
402,1029,TICKET,Затрудняюсь эпич муз,HARD,712
403,1028,TICKET,Затрудняюсь,HARD,712
404,1022,TICKET,Затрудняюсь vine,HARD,712
405,1019,TICKET,Ответил,SOLVED,712
406,1038,TICKET,Ответил,SOLVED,712
407,1042,TICKET,Ответил,SOLVED,712
408,1039,TICKET,Ответил,SOLVED,43
409,1037,TICKET,Ответил,SOLVED,712
410,1041,TICKET,Ответил,SOLVED,712
411,1040,TICKET,Ответил,SOLVED,712
412,1036,TICKET,Затрудняюсь,HARD,712
413,1036,TICKET,Ответил,SOLVED,788
414,1043,TICKET,Затрудняюсь vine,HARD,712
415,1044,TICKET,Непонятно,OBSCURE,712
416,1045,TICKET,Затрудняюсь,HARD,712
417,1055,TICKET,Ответил приблизительно,SOLVED,712
418,1052,TICKET,Непонятно нет ссылки,OBSCURE,712
419,1050,TICKET,Непонятно,OBSCURE,712
420,1046,TICKET,Непонятно,OBSCURE,712
421,1047,TICKET,Затрудняюсь,HARD,712
422,1054,TICKET,Ответил,SOLVED,712
423,1056,TICKET,Непонятно,OBSCURE,712
424,1057,TICKET,Непонятно,OBSCURE,712
425,1058,TICKET,Затрудняюсь vine,HARD,712
426,1058,TICKET,вайн,HARD,99
427,1057,TICKET,ссылка офф,OBSCURE,99
428,1056,TICKET,ссылка офф холостяк 4,OBSCURE,99
429,1052,TICKET,ссылка офф,OBSCURE,99
430,1050,TICKET,заявка офф,OBSCURE,99
431,1059,TICKET,Ответил,SOLVED,712
432,1060,TICKET,Затрудняюсь,HARD,712
433,1047,TICKET,бит,WAITING,99
434,1046,TICKET,офф,OBSCURE,99
435,1062,TICKET,Ответил,SOLVED,43
436,1063,TICKET,Ответил,SOLVED,43
437,1064,TICKET,Ответил,SOLVED,43
439,1043,TICKET,Ответил,SOLVED,43
440,1067,TICKET,Ответил,SOLVED,43
442,1079,TICKET,Ответил,SOLVED,43
444,1080,TICKET,Ответил,SOLVED,43
445,1045,TICKET,с сайта,HARD,99
446,1081,TICKET,ссылка не работает,WAITING,99
447,1074,TICKET,Непонятно,OBSCURE,99
448,1075,TICKET,Отложено,WAITING,99
449,1073,TICKET,какая другая? какие в ней слова?,WAITING,99
450,1082,TICKET,Ответил,SOLVED,43
452,1085,TICKET,Ответил,SOLVED,43
453,1091,TICKET,Ответил,SOLVED,788
454,1090,TICKET,Затрудняюсь,HARD,712
455,1065,TICKET,Затрудняюсь,HARD,712
456,1068,TICKET,Затрудняюсь турецкое что-то,HARD,712
458,1071,TICKET,Затрудняюсь,HARD,712
459,1072,TICKET,Непонятно,OBSCURE,712
460,1073,TICKET,Затрудняюсь,HARD,712
461,1074,TICKET,Непонятно,OBSCURE,712
462,1075,TICKET,Затрудняюсь,HARD,712
463,1076,TICKET,Затрудняюсь,HARD,712
464,1081,TICKET,Затрудняюсь,HARD,712
465,1084,TICKET,Затрудняюсь vine,HARD,712
466,1087,TICKET,Затрудняюсь,HARD,712
467,1092,TICKET,Затрудняюсь,HARD,712
468,1093,TICKET,Ответил,SOLVED,712
469,1094,TICKET,Непонятно,OBSCURE,712
470,1095,TICKET,Затрудняюсь,HARD,712
471,1096,TICKET,Ответил,SOLVED,712
472,1097,TICKET,Непонятно,OBSCURE,712
473,1083,TICKET,Затрудняюсь,HARD,712
474,1098,TICKET,Затрудняюсь,HARD,712
475,1099,TICKET,Затрудняюсь,HARD,712
477,1100,TICKET,Непонятно,OBSCURE,712
478,1101,TICKET,Ответил,SOLVED,712
481,1103,TICKET,Ответил,SOLVED,788
482,1105,TICKET,Ответил,SOLVED,43
483,1104,TICKET,Ответил,SOLVED,43
484,1106,TICKET,Ответил,SOLVED,43
485,1107,TICKET,Ответил,SOLVED,43
486,1108,TICKET,Ответил,SOLVED,43
487,1108,TICKET,Затрудняюсь,HARD,1
489,1110,TICKET,Ответил,SOLVED,43
494,1147,TICKET,Ответил,SOLVED,788
495,1148,TICKET,Ответил,SOLVED,788
497,1168,TICKET,Ответил,SOLVED,43
498,1180,TICKET,Ответил,SOLVED,43
499,1181,TICKET,Ответил,SOLVED,43
500,1186,TICKET,Ответил,SOLVED,43
501,1189,TICKET,Затрудняюсь,HARD,712
502,1188,TICKET,Ответил,SOLVED,712
503,1187,TICKET,Непонятно,OBSCURE,712
504,1185,TICKET,Непонятно,OBSCURE,712
506,1184,TICKET,Затрудняюсь была такая заявка,HARD,712
507,1183,TICKET,Затрудняюсь,HARD,712
508,1182,TICKET,Затрудняюсь но трек хороший,HARD,712
509,1191,TICKET,Ответил,SOLVED,788
510,1193,TICKET,Ответил,SOLVED,788
511,1195,TICKET,Ответил,SOLVED,788
512,1197,TICKET,Ответил,SOLVED,788
513,1199,TICKET,Затрудняюсь,HARD,712
515,1144,TICKET,Ответил,SOLVED,708
516,1200,TICKET,Отложено,WAITING,712
517,1201,TICKET,Ответили уже,SOLVED,712
518,1200,TICKET,Ответил,SOLVED,788
519,1205,TICKET,Ответил,SOLVED,712
520,1204,TICKET,Непонятно,OBSCURE,712
521,1194,TICKET,Затрудняюсь,HARD,712
522,1206,TICKET,Затрудняюсь,HARD,712
523,1209,TICKET,Ответил,SOLVED,712
524,1208,TICKET,Ответил,SOLVED,712
525,1211,TICKET,Непонятно,OBSCURE,712
526,1212,TICKET,Ответил,SOLVED,712
527,1217,TICKET,Ответил,SOLVED,712
528,1216,TICKET,Затрудняюсь,HARD,712
529,1215,TICKET,Ответил,SOLVED,712
530,1213,TICKET,Затрудняюсь трек прикольный,HARD,712
531,1218,TICKET,Затрудняюсь короткий трек,HARD,712
532,1219,TICKET,Ответил,SOLVED,788
533,1219,TICKET,Ответил,SOLVED,712
534,1220,TICKET,Затрудняюсь,HARD,712
535,1221,TICKET,Затрудняюсь,HARD,712
536,1222,TICKET,Ответил,SOLVED,712
538,1223,TICKET,Затрудняюсь,HARD,712
539,1225,TICKET,Ответил,SOLVED,712
540,1226,TICKET,Ответил,SOLVED,712
541,1227,TICKET,Затрудняюсь,HARD,712
542,1228,TICKET,Затрудняюсь,HARD,712
543,1229,TICKET,Ответил,SOLVED,712
544,1230,TICKET,Отложено,WAITING,2
547,1237,TICKET,Ответил,SOLVED,788
548,1235,TICKET,Ответил,SOLVED,788
549,1233,TICKET,Ответил,SOLVED,788
550,1224,TICKET,Ответил,SOLVED,788
553,1241,TICKET,Ответил,SOLVED,43
556,1231,TICKET,Затрудняюсь vine Scream,HARD,712
557,1230,TICKET,Отложено,WAITING,712
558,1232,TICKET,Затрудняюсь vine Christopher Wood | Кристофер Вуд,HARD,712
559,1236,TICKET,Непонятно,OBSCURE,712
560,1238,TICKET,Затрудняюсь,HARD,712
561,1240,TICKET,Затрудняюсь,HARD,712
562,1242,TICKET,Ответил,SOLVED,712
563,1244,TICKET,Ответил,SOLVED,712
564,1243,TICKET,Ответил,SOLVED,712
565,1245,TICKET,Ответил,SOLVED,712
566,1246,TICKET,Ответил,SOLVED,712
567,1247,TICKET,Ответил,SOLVED,712
568,1248,TICKET,Ответил,SOLVED,712
569,1249,TICKET,Затрудняюсь,HARD,712
570,1250,TICKET,Затрудняюсь vine mr Robot,HARD,712
571,1251,TICKET,Затрудняюсь ТОП10 СТРАШНЫХ САЙТОВ,HARD,712
572,1252,TICKET,Затрудняюсь,HARD,712
573,1239,TICKET,Затрудняюсь,HARD,712
574,1254,TICKET,Затрудняюсь vine scream,HARD,712
575,1253,TICKET,Затрудняюсь муз спец для ролика,HARD,712
576,1255,TICKET,Отложено,WAITING,712
577,1257,TICKET,Непонятно,OBSCURE,712
578,1258,TICKET,Затрудняюсь,HARD,712
580,1259,TICKET,Ответил,SOLVED,712
581,1262,TICKET,Затрудняюсь,HARD,712
582,1261,TICKET,Непонятно,OBSCURE,712
583,1260,TICKET,Затрудняюсь,HARD,712
584,1256,TICKET,Затрудняюсь,HARD,712
585,1264,TICKET,Ответил,SOLVED,712
586,1266,TICKET,Затрудняюсь vine Kylo Ren|1|,HARD,712
587,1267,TICKET,Ответил,SOLVED,712
588,1269,TICKET,Затрудняюсь,HARD,712
590,1270,TICKET,Затрудняюсь,HARD,712
591,1271,TICKET,Затрудняюсь vines video games,HARD,712
592,1272,TICKET,Затрудняюсь MGS4:Guns of the Patriots,HARD,712
593,1273,TICKET,Затрудняюсь,HARD,712
594,1274,TICKET,Непонятно,OBSCURE,712
595,1275,TICKET,Затрудняюсь,HARD,712
596,1276,TICKET,Затрудняюсь,HARD,712
597,1277,TICKET,Затрудняюсь,HARD,712
598,1278,TICKET,Ответил,SOLVED,712
599,1279,TICKET,Ответил,SOLVED,712
600,1280,TICKET,Затрудняюсь,HARD,712
601,1281,TICKET,Ответил,SOLVED,712
602,1284,TICKET,Затрудняюсь,HARD,712
603,1285,TICKET,Затрудняюсь,HARD,712
604,1286,TICKET,Затрудняюсь,HARD,712
605,1287,TICKET,Непонятно нафига?,OBSCURE,712
606,1288,TICKET,Ответил,SOLVED,712
607,1289,TICKET,Затрудняюсь,HARD,712
608,1291,TICKET,Затрудняюсь,HARD,712
609,1290,TICKET,Ответил,SOLVED,712
610,1292,TICKET,Затрудняюсь,HARD,712
611,1293,TICKET,Ответил,SOLVED,712
612,1294,TICKET,Затрудняюсь,HARD,712
613,1295,TICKET,Непонятно,OBSCURE,712
614,1300,TICKET,Затрудняюсь,HARD,712
615,1298,TICKET,Непонятно,OBSCURE,712
616,1301,TICKET,Затрудняюсь,HARD,712
617,1302,TICKET,Непонятно,OBSCURE,712
618,1303,TICKET,Затрудняюсь,HARD,712
619,1304,TICKET,Затрудняюсь,HARD,712
620,1305,TICKET,Затрудняюсь,HARD,712
621,1306,TICKET,Ответил,SOLVED,712
622,1308,TICKET,Ответил,SOLVED,712
623,1307,TICKET,Ответил,SOLVED,712
624,1309,TICKET,Затрудняюсь,HARD,712
629,1324,TICKET,Затрудняюсь Vine #29 [GDM],HARD,712
630,1323,TICKET,Затрудняюсь,HARD,712
631,1322,TICKET,Непонятно,OBSCURE,712
632,1315,TICKET,Ответил,SOLVED,788
633,1321,TICKET,Затрудняюсь,HARD,712
634,1320,TICKET,Затрудняюсь,HARD,712
635,1319,TICKET,Затрудняюсь,HARD,712
636,1318,TICKET,Затрудняюсь,HARD,712
637,1314,TICKET,Затрудняюсь было уже,HARD,712
638,1328,TICKET,Затрудняюсь,HARD,712
639,1325,TICKET,Ответил,SOLVED,712
640,1333,TICKET,Затрудняюсь трек хороший,HARD,712
641,1332,TICKET,Затрудняюсь,HARD,712
643,1331,TICKET,Ответил,SOLVED,712
644,1329,TICKET,Затрудняюсь,HARD,712
645,1330,TICKET,Затрудняюсь,HARD,712
646,1313,TICKET,Затрудняюсь,HARD,712
647,1312,TICKET,Затрудняюсь,HARD,712
648,1311,TICKET,Непонятно,OBSCURE,712
649,1338,TICKET,Затрудняюсь,HARD,712
650,1310,TICKET,Непонятно,OBSCURE,712
651,1337,TICKET,Затрудняюсь,HARD,712
652,1336,TICKET,Затрудняюсь,HARD,712
653,1339,TICKET,Затрудняюсь,HARD,712
654,1340,TICKET,Затрудняюсь,HARD,712
655,1345,TICKET,Ответил,SOLVED,788
656,1343,TICKET,Ответил,SOLVED,788
657,1338,TICKET,Ответил,SOLVED,788
658,1351,TICKET,Ответил,SOLVED,788
659,1354,TICKET,Ответил,SOLVED,788
666,1402,TICKET,Ответил,SOLVED,43
667,1404,TICKET,Отложено,WAITING,712
668,1403,TICKET,Затрудняюсь,HARD,712
669,1405,TICKET,Затрудняюсь,HARD,712
670,1401,TICKET,Затрудняюсь,HARD,712
671,1400,TICKET,Непонятно,OBSCURE,712
672,1399,TICKET,Затрудняюсь,HARD,712
673,1392,TICKET,Затрудняюсь,HARD,712
674,1390,TICKET,Затрудняюсь,HARD,712
675,1385,TICKET,Ответил,SOLVED,712
676,1395,TICKET,Отложено,WAITING,712
677,1382,TICKET,Непонятно,OBSCURE,712
678,1375,TICKET,Непонятно,OBSCURE,712
679,1374,TICKET,Затрудняюсь,HARD,712
680,1373,TICKET,Непонятно,OBSCURE,712
681,1371,TICKET,Непонятно,OBSCURE,712
682,1437,TICKET,Затрудняюсь,HARD,712
683,1440,TICKET,Непонятно,OBSCURE,712
684,1436,TICKET,Затрудняюсь,HARD,712
685,1435,TICKET,Затрудняюсь на 2 мин хорош трек,HARD,712
686,1433,TICKET,Затрудняюсь,HARD,712
687,1431,TICKET,Затрудняюсь,HARD,712
688,1423,TICKET,Затрудняюсь,HARD,712
689,1418,TICKET,Непонятно,OBSCURE,712
690,1409,TICKET,Ответил как смог,SOLVED,712
691,1407,TICKET,Непонятно,OBSCURE,712
692,1406,TICKET,Ответил как смог,SOLVED,712
693,1442,TICKET,Затрудняюсь,HARD,712
694,1448,TICKET,Ответил,SOLVED,788
699,1480,TICKET,Затрудняюсь,HARD,712
700,1477,TICKET,Затрудняюсь,HARD,712
701,1474,TICKET,Затрудняюсь,HARD,712
702,1473,TICKET,Затрудняюсь,HARD,712
703,1471,TICKET,Непонятно,OBSCURE,712
704,1470,TICKET,Отложено,WAITING,712
705,1469,TICKET,Затрудняюсь,HARD,712
706,1467,TICKET,Затрудняюсь,HARD,712
707,1466,TICKET,Затрудняюсь,HARD,712
708,1465,TICKET,Затрудняюсь,HARD,712
709,1464,TICKET,Затрудняюсь,HARD,712
710,1447,TICKET,Непонятно,OBSCURE,712
711,1450,TICKET,Затрудняюсь,HARD,712
712,1451,TICKET,Затрудняюсь,HARD,712
713,1452,TICKET,Затрудняюсь,HARD,712
714,1455,TICKET,Затрудняюсь,HARD,712
716,1462,TICKET,Затрудняюсь,HARD,712
717,1482,TICKET,Затрудняюсь,HARD,712
718,1481,TICKET,Затрудняюсь,HARD,712
719,1483,TICKET,Затрудняюсь,HARD,712
721,1484,TICKET,Затрудняюсь,HARD,712
722,1485,TICKET,Затрудняюсь,HARD,712
723,1487,TICKET,Затрудняюсь,HARD,712
724,1488,TICKET,Затрудняюсь,HARD,712
725,1491,TICKET,Ответил,SOLVED,99
726,1490,TICKET,Затрудняюсь,HARD,712
727,1489,TICKET,Затрудняюсь,HARD,712
728,1494,TICKET,Затрудняюсь,HARD,712
729,1441,TICKET,можно поискать,OCCUPIED,99
730,1473,TICKET,можно поискать,OCCUPIED,99
732,1497,TICKET,Ответил,SOLVED,43
734,1503,TICKET,Ответил,SOLVED,43
735,1506,TICKET,Ответил,SOLVED,712
736,1509,TICKET,Затрудняюсь,HARD,712
737,1510,TICKET,Ответил примерно,SOLVED,712
738,1507,TICKET,Непонятно,OBSCURE,712
739,1500,TICKET,Непонятно,OBSCURE,712
740,1498,TICKET,Затрудняюсь,HARD,712
742,1511,TICKET,Затрудняюсь,HARD,712
743,1512,TICKET,Затрудняюсь,HARD,712
744,1513,TICKET,Затрудняюсь,HARD,712
745,1524,TICKET,Ответил,SOLVED,788
746,1522,TICKET,Ответил,SOLVED,788
747,1527,TICKET,Ответил,SOLVED,788
748,1526,TICKET,Ответил,SOLVED,788
749,1529,TICKET,Ответил,SOLVED,788
750,1531,TICKET,Ответил,SOLVED,788
751,1530,TICKET,Затрудняюсь,HARD,712
752,1521,TICKET,Затрудняюсь vine,HARD,712
753,1523,TICKET,Затрудняюсь было уже,HARD,712
754,1519,TICKET,Затрудняюсь,HARD,712
755,1516,TICKET,Непонятно,OBSCURE,712
756,1528,TICKET,Затрудняюсь,HARD,712
757,1534,TICKET,Затрудняюсь,HARD,712
758,1536,TICKET,Затрудняюсь,HARD,712
759,1537,TICKET,Затрудняюсь,HARD,712
760,1538,TICKET,Затрудняюсь vine,HARD,712
761,1541,TICKET,Ответил,SOLVED,788
762,1544,TICKET,Затрудняюсь,HARD,712
763,1543,TICKET,Затрудняюсь,HARD,712
764,1539,TICKET,Затрудняюсь,HARD,712
765,1567,TICKET,Затрудняюсь,HARD,712
766,1568,TICKET,Затрудняюсь,HARD,712
767,1570,TICKET,Затрудняюсь,HARD,712
768,1565,TICKET,Затрудняюсь,HARD,712
769,1566,TICKET,Затрудняюсь,HARD,712
770,1559,TICKET,Затрудняюсь,HARD,712
771,1554,TICKET,Затрудняюсь,HARD,712
772,1571,TICKET,Затрудняюсь,HARD,712
774,1577,TICKET,Ответил,SOLVED,788
775,1576,TICKET,Ответил,SOLVED,788
776,1573,TICKET,Ответил,SOLVED,788
777,1565,TICKET,Ответил,SOLVED,788
778,1579,TICKET,Ответил,SOLVED,712
779,1580,TICKET,Ответил,SOLVED,712
780,1574,TICKET,Ответил примерно,SOLVED,712
781,1581,TICKET,Ответил примерно,SOLVED,712
783,1582,TICKET,Ответил,SOLVED,712
784,1584,TICKET,Ответил,SOLVED,43
785,1586,TICKET,Отложено,WAITING,99
786,1588,TICKET,Ответил,SOLVED,99
788,1603,TICKET,Ответил,SOLVED,788
789,1601,TICKET,Ответил,SOLVED,788
790,1599,TICKET,Ответил,SOLVED,788
791,1605,TICKET,Ответил,SOLVED,788
792,1604,TICKET,Ответил,SOLVED,788
793,1607,TICKET,Ответил,SOLVED,712
794,1606,TICKET,Непонятно,OBSCURE,712
795,1602,TICKET,Ответил,SOLVED,712
796,1600,TICKET,Затрудняюсь,HARD,712
797,1598,TICKET,Затрудняюсь,HARD,712
798,1597,TICKET,Затрудняюсь,HARD,712
799,1596,TICKET,Ответил,SOLVED,712
800,1595,TICKET,Затрудняюсь,HARD,712
801,1609,TICKET,Затрудняюсь,HARD,712
802,1592,TICKET,Затрудняюсь,HARD,712
803,1591,TICKET,Затрудняюсь,HARD,712
804,1590,TICKET,Затрудняюсь,HARD,712
805,1587,TICKET,Непонятно,OBSCURE,712
806,1583,TICKET,Затрудняюсь,HARD,712
808,1613,TICKET,Ответил,SOLVED,711
809,1611,TICKET,Ответил,SOLVED,43
810,1620,TICKET,Ответил,SOLVED,43
811,1614,TICKET,Занято,OCCUPIED,1
812,1617,TICKET,Ответил,SOLVED,788
813,1619,TICKET,Ответил,SOLVED,788
814,1623,TICKET,Ответил,SOLVED,788
815,1624,TICKET,будьте добры предоставить ссылку.,WAITING,99
816,1625,TICKET,спам,OBSCURE,99
817,1626,TICKET,повтор,OBSCURE,99
818,1627,TICKET,Ответил,SOLVED,788
819,1628,TICKET,Затрудняюсь,HARD,712
820,1638,TICKET,Затрудняюсь vine,HARD,712
821,1637,TICKET,Затрудняюсь vine,HARD,712
822,1632,TICKET,Непонятно,OBSCURE,712
823,1631,TICKET,Затрудняюсь,HARD,712
824,1630,TICKET,Затрудняюсь,HARD,712
825,1640,TICKET,Ответил,SOLVED,712
826,1612,TICKET,Затрудняюсь,HARD,712
827,1618,TICKET,Затрудняюсь,HARD,712
828,1621,TICKET,Ответил,SOLVED,712
829,1622,TICKET,Затрудняюсь,HARD,712
830,1624,TICKET,Непонятно,OBSCURE,712
831,1625,TICKET,Непонятно,OBSCURE,712
832,1634,TICKET,Ответил,SOLVED,788
833,1646,TICKET,Ответил,SOLVED,43
834,1642,TICKET,Ответил,SOLVED,788
837,1654,TICKET,Ответил,SOLVED,43
838,1652,TICKET,Ответил,SOLVED,43
839,1651,TICKET,Ответил,SOLVED,43
840,1653,TICKET,Ответил,SOLVED,43
841,1655,TICKET,Ответил,SOLVED,43
842,1656,TICKET,Ответил,SOLVED,712
843,1654,TICKET,Ответил,SOLVED,712
844,1649,TICKET,Затрудняюсь,HARD,712
